group	subset	learningiter	acc	expid
tv	460	0	0.378406	463
tv	460	250	0.511884	463
tv	460	500	0.597536	463
tv	460	750	0.636667	463
tv	460	1000	0.721884	463
tv	460	1250	0.738261	463
tv	460	1500	0.748406	463
tv	460	1750	0.75029	463
tv	460	2000	0.74029	463
tv	460	2250	0.748261	463
tv	460	2500	0.74913	463
tv	460	2750	0.748551	463
tv	460	3000	0.756812	463
tv	460	3250	0.755217	463
tv	460	3500	0.757536	463
tv	460	3750	0.759855	463
tv	460	4000	0.753623	463
tv	460	4250	0.758116	463
tv	460	4500	0.767391	463
tv	460	4750	0.763913	463
tv	460	5000	0.772754	463
tv	460	5250	0.772899	463
tv	460	5500	0.774638	463
tv	460	5750	0.778696	463
tv	460	6000	0.772464	463
tv	460	6250	0.784058	463
tv	460	6500	0.791014	463
tv	460	6750	0.777536	463
tv	460	7000	0.796232	463
tv	460	7250	0.798696	463
tv	460	7500	0.796377	463
tv	460	7750	0.801594	463
tv	460	8000	0.790435	463
tv	460	8250	0.807101	463
tv	460	8500	0.813623	463
tv	460	8750	0.79	463
tv	460	9000	0.815362	463
tv	460	9250	0.816377	463
tv	460	9500	0.814493	463
tv	460	9750	0.819131	463
tv	460	10000	0.815797	463
tv	460	10250	0.823913	463
tv	460	10500	0.82058	463
tv	460	10750	0.818116	463
tv	460	11000	0.81913	463
tv	460	11250	0.82029	463
tv	460	11500	0.826667	463
tv	460	11750	0.836087	463
tv	460	12000	0.839855	463
tv	460	12250	0.831594	463
tv	460	12500	0.834203	463
tv	460	12750	0.836522	463
tv	460	13000	0.840145	463
tv	460	13250	0.83029	463
tv	460	13500	0.841449	463
tv	460	13750	0.837391	463
tv	460	14000	0.846667	463
tv	460	14250	0.842609	463
tv	460	14500	0.836087	463
tv	460	14750	0.838116	463
tv	460	15000	0.856522	463
tv	460	15250	0.84971	463
tv	460	15500	0.852319	463
tv	460	15750	0.844783	463
tv	460	16000	0.846087	463
tv	460	16250	0.844493	463
tv	460	16500	0.842464	463
tv	460	16750	0.857391	463
tv	460	17000	0.848696	463
tv	460	17250	0.857536	463
tv	460	17500	0.860435	463
tv	460	17750	0.855507	463
tv	460	18000	0.842174	463
tv	460	18250	0.838696	463
tv	460	18500	0.863623	463
tv	460	18750	0.850435	463
tv	460	19000	0.825942	463
tv	460	19250	0.861594	463
tv	460	19500	0.854638	463
tv	460	19750	0.847971	463
tv	460	20000	0.858406	463
tv	460	20250	0.844348	463
tv	460	20500	0.846956	463
tv	460	20750	0.846956	463
tv	460	21000	0.856812	463
tv	460	21250	0.846232	463
tv	460	21500	0.854203	463
tv	460	21750	0.845797	463
tv	460	22000	0.862609	463
tv	460	22250	0.858261	463
tv	460	22500	0.853044	463
tv	460	22750	0.86	463
tv	460	23000	0.855362	463
tv	460	23250	0.851739	463
tv	460	23500	0.858551	463
tv	460	23750	0.861159	463
tv	460	24000	0.854493	463
tv	460	24250	0.867246	463
tv	460	24500	0.859565	463
tv	460	24750	0.842609	463
tv	460	25000	0.853044	463
tv	460	25250	0.865218	463
tv	460	25500	0.846377	463
tv	460	25750	0.861449	463
tv	460	26000	0.852464	463
tv	460	26250	0.853623	463
tv	460	26500	0.852319	463
tv	460	26750	0.851739	463
tv	460	27000	0.865652	463
tv	460	27250	0.842464	463
tv	460	27500	0.861884	463
tv	460	27750	0.858551	463
tv	460	28000	0.85942	463
tv	460	28250	0.851159	463
tv	460	28500	0.84942	463
tv	460	28750	0.863478	463
tv	460	29000	0.856522	463
tv	460	29250	0.848696	463
tv	460	29500	0.862899	463
tv	460	29750	0.844638	463
tv	460	30000	0.854058	463
tv	460	30250	0.862899	463
tv	460	30500	0.848261	463
tv	460	30750	0.849131	463
tv	460	31000	0.856377	463
tv	460	31250	0.858261	463
tv	460	31500	0.846812	463
tv	460	31750	0.85971	463
tv	460	32000	0.857681	463
tv	460	32250	0.861739	463
tv	460	32500	0.863768	463
tv	460	32750	0.851159	463
tv	460	33000	0.858116	463
tv	460	33250	0.851739	463
tv	460	33500	0.858406	463
tv	460	33750	0.855507	463
tv	460	34000	0.859855	463
tv	460	34250	0.857246	463
tv	460	34500	0.866087	463
tv	460	34750	0.854927	463
tv	460	35000	0.831159	463
tv	460	35250	0.853189	463
tv	460	35500	0.861884	463
tv	460	35750	0.844783	463
tv	460	36000	0.862609	463
tv	460	36250	0.849275	463
tv	460	36500	0.85087	463
tv	460	36750	0.855362	463
tv	460	37000	0.852174	463
tv	460	37250	0.863913	463
tv	460	37500	0.846522	463
tv	460	37750	0.857536	463
tv	460	38000	0.856087	463
tv	460	38250	0.858551	463
tv	460	38500	0.847391	463
tv	460	38750	0.838986	463
tv	460	39000	0.861449	463
tv	460	39250	0.844058	463
tv	460	39500	0.845218	463
tv	460	39750	0.857246	463
tv	460	40000	0.84884	463
tv	460	40250	0.849855	463
tv	460	40500	0.857246	463
tv	460	40750	0.84971	463
