group	subset	valid	maxacc	diff	expid
tv	460	0.816105	0.867246	0.05114099999999999	463
tv	460	0.831579	0.8468	0.01522100000000004	188
tv	57	0.722105	0.711667	-0.010437999999999947	277
tv	921	0.828737	0.841379	0.012642000000000042	846
tv	1440	0.848	0.865104	0.017104000000000008	612
tv	115	0.745895	0.845833	0.09993799999999997	277
tv	230	0.827368	0.871	0.043632000000000004	909
tv	921	0.836632	0.828246	-0.008386000000000005	507
tv	115	0.742211	0.87625	0.13403900000000002	846
tv	1440	0.859579	0.837344	-0.022235000000000005	137
tv	1440	0.862421	0.839182	-0.02323900000000001	282
tv	230	0.81021	0.841177	0.030966999999999967	277
tv	230	0.825263	0.863462	0.03819899999999998	137
tv	57	0.797263	0.805556	0.008292999999999995	282
tv	1440	0.858631	0.852934	-0.005697000000000063	725
tv	230	0.796632	0.716563	-0.08006900000000006	613
tv	1440	0.856	0.843633	-0.012367000000000017	188
tv	921	0.82821	0.817702	-0.010507999999999962	277
tv	115	0.790421	0.69375	-0.09667100000000006	282
tv	230	0.817895	0.834324	0.016428999999999916	188
tv	115	0.774526	0.835385	0.060858999999999996	909
tv	57	0.720632	0.64	-0.08063200000000004	725
tv	57	0.694421	0.768333	0.07391200000000009	188
tv	57	0.756421	0.53	-0.22642099999999998	507
tv	230	0.814316	0.941154	0.126838	507
tv	115	0.775579	0.807368	0.031788999999999956	612
tv	460	0.824421	0.750476	-0.07394499999999993	137
tv	57	0.767158	0.815	0.04784199999999994	846
tv	460	0.839684	0.807714	-0.03196999999999994	613
tv	1440	0.860211	0.86186	0.0016490000000000116	463
tv	460	0.82	0.823824	0.0038240000000000496	612
tv	1440	0.86179	0.865598	0.0038080000000000336	909
tv	460	0.826105	0.825652	-0.0004529999999999257	909
tv	921	0.838105	0.8696	0.03149500000000005	909
tv	921	0.834421	0.838345	0.003924000000000039	137
tv	921	0.846211	0.877968	0.031756999999999924	463
tv	1440	0.860737	0.847733	-0.013004000000000016	277
tv	1440	0.86	0.842694	-0.017305999999999933	846
tv	460	0.826421	0.781111	-0.04530999999999996	725
tv	115	0.786316	0.824091	0.037775	725
tv	460	0.836	0.879157	0.043157	846
tv	1440	0.856632	0.863149	0.006517000000000106	507
tv	921	0.848316	0.853613	0.005296999999999996	613
tv	57	0.755368	0.749	-0.00636800000000004	612
tv	115	0.722737	0.90625	0.18351300000000004	613
tv	230	0.798947	0.785294	-0.013652999999999915	846
tv	460	0.828105	0.889559	0.06145400000000001	282
tv	921	0.833474	0.88027	0.04679599999999995	188
tv	1440	0.865158	0.829913	-0.03524499999999997	613
tv	115	0.812526	0.875	0.06247400000000003	188
tv	57	0.73579	0.865	0.12920999999999994	909
tv	460	0.823579	0.830588	0.007009000000000043	277
tv	57	0.699579	0.693333	-0.006245999999999974	613
tv	57	0.750632	0.711429	-0.03920299999999999	463
tv	115	0.772842	0.824	0.051157999999999926	507
tv	57	0.709158	0.84	0.130842	137
tv	115	0.739474	0.748571	0.009097000000000022	137
tv	460	0.838105	0.863881	0.02577600000000002	507
tv	230	0.800631	0.760238	-0.04039300000000001	612
tv	921	0.864526	0.853549	-0.010977000000000015	282
tv	921	0.849158	0.845496	-0.003661999999999943	612
tv	115	0.800211	0.784375	-0.01583599999999996	463
tv	230	0.812421	0.772571	-0.03984999999999994	725
tv	230	0.810316	0.855429	0.04511299999999996	282
tv	230	0.821158	0.792903	-0.02825500000000003	463
tv	921	0.843789	0.842785	-0.0010040000000000049	725
